time,enviro,cpu
0.1469409465789795,25.012735689250984,57458

1.1845183372497559,34.83100132656766,56920

2.2224974632263184,34.77328653969018,56382

3.255812168121338,34.695910730654056,56920

4.288055181503296,34.65658862413186,55844

5.321919679641724,34.546550241525345,55844

6.36022686958313,34.42636438350039,56382

7.399819374084473,34.33408458750673,55844

8.438336849212646,34.29571397902221,55844

9.47716760635376,34.222143933273784,55844

10.510090112686157,34.15650174583461,55844

11.5476393699646,34.125107673409936,55844

12.585815191268921,34.11464298507781,54768

13.621820449829102,34.088005602182605,54768

14.655096769332886,34.07246713253155,55844

15.693084716796875,34.06327089667693,54768

16.731008768081665,34.056294442528454,55306

17.76971459388733,34.04519553933535,54768

18.80942440032959,34.02712018568745,54768

19.850610971450806,34.0207779572127,55306

20.909035682678223,34.044561316337806,55306

21.9465491771698,34.06073400419564,55306

22.98824119567871,34.09054249544606,54768

24.02643132209778,34.11369164983628,54768

25.064626932144165,34.15491618635408,54768

26.10151171684265,34.17552846181788,54768

27.139514684677124,34.22721772756779,54768

28.173808813095093,34.28778616942664,54768

29.211817502975464,34.336304375283746,54768

30.248416662216187,34.35437979211311,54768

31.285926342010498,34.40448359842348,54230

32.32548427581787,34.46505216166463,54230

33.364115715026855,34.521498294586515,54768

34.40008044242859,34.554160960987886,54768

35.43713569641113,34.60711890204605,54768

36.475475549697876,34.6286826236563,54768

37.51413440704346,34.63470778210467,54768

38.57435894012451,34.64200139551233,54768

39.61492872238159,34.643904077369754,54230

40.65233111381531,34.647392327548005,54768

41.691161155700684,34.64295273643593,54230

42.73041296005249,34.61948632997373,54230

43.76948523521423,34.60426488046214,54230

44.80980467796326,34.61282694549011,54768

45.84858155250549,34.644538304664664,54768

46.88682246208191,34.66356512562636,54768

47.9253990650177,34.675615447685615,54768

48.96250343322754,34.677201016499836,53692

50.00138711929321,34.650880577863816,54230

51.039029359817505,34.624877260637206,54230

52.07950139045715,34.61504674026228,54230

53.121591329574585,34.569699515257184,53692

54.16053771972656,34.49771480722266,53154

55.197070360183716,34.4438055928732,53692

56.2373423576355,34.4193879007142,53154

57.305952310562134,34.37340655066073,53692

58.34454298019409,34.32330276195362,53692

59.38137459754944,34.31664339976853,54230

60.421916246414185,34.31252093771472,53692

61.460867404937744,34.27161344005492,54230

62.498974561691284,34.199946086659494,53692

63.54076910018921,34.117496990863785,53692

64.57810664176941,34.06897890502587,53692

65.61696004867554,34.04234153588222,53692

66.64708352088928,33.98335881846806,54768

67.68303632736206,33.9240590293188,54230

68.72057914733887,33.87490682780371,54230

69.74895215034485,33.85144062510017,54230

